"query","intent","funnel_stage","segment","target_route","content_action","priority","cluster_evidence"
"tender writing services uk","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"bid writing services uk","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"tender writer uk","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"bid writer uk","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"tender writing company uk","Commercial","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"bid writing consultancy uk","Commercial","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"public sector bid writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"healthcare tender writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"social care tender writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"care tender writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"nhs tender writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"council tender writing services","Transactional","Decision","Cross-sector","/services/bid-writing","Strengthen existing page","P0","Commercial/service taxonomy"
"tender bid review service","Transactional","Decision","Cross-sector","/services/pre-submission-review","Strengthen existing page","P0","Commercial/service taxonomy"
"bid review services uk","Transactional","Decision","Cross-sector","/services/pre-submission-review","Strengthen existing page","P0","Commercial/service taxonomy"
"tender readiness audit","Transactional","Decision","Cross-sector","/services/tender-readiness-audit","Strengthen existing page","P0","Commercial/service taxonomy"
"bid no bid assessment service","Transactional","Decision","Cross-sector","/services/bid-viability","Strengthen existing page","P0","Commercial/service taxonomy"
"tender viability assessment","Transactional","Decision","Cross-sector","/services/bid-viability","Strengthen existing page","P1","Commercial/service taxonomy"
"tender training uk","Transactional","Decision","Cross-sector","/services/tender-training","Strengthen existing page","P1","Commercial/service taxonomy"
"bid writing training uk","Transactional","Decision","Cross-sector","/services/tender-training","Strengthen existing page","P1","Commercial/service taxonomy"
"tender mobilisation support","Transactional","Decision","Cross-sector","/services/mobilisation-support","Strengthen existing page","P1","Commercial/service taxonomy"
"tender retainer services","Transactional","Decision","Cross-sector","/services/tender-retainer","Strengthen existing page","P1","Commercial/service taxonomy"
"outsourced bid writing team","Transactional","Decision","Cross-sector","/services/tender-retainer","Strengthen existing page","P1","Commercial/service taxonomy"
"tender pipeline monitoring service","Transactional","Decision","Cross-sector","/services/tender-pipeline-monitoring","Strengthen existing page","P0","Commercial/service taxonomy"
"tender alerts for care providers","Transactional","Decision","Cross-sector","/services/tender-pipeline-monitoring","Strengthen existing page","P0","Commercial/service taxonomy"
"find care tenders uk","Commercial","Consideration","Cross-sector","/tenders","Strengthen existing page","P0","Commercial/service taxonomy"
"live healthcare tenders uk","Commercial","Consideration","Cross-sector","/tenders","Strengthen existing page","P0","Commercial/service taxonomy"
"live social care tenders uk","Commercial","Consideration","Cross-sector","/tenders","Strengthen existing page","P0","Commercial/service taxonomy"
"free care tender search","Commercial","Consideration","Cross-sector","/tenders","Strengthen existing page","P1","Commercial/service taxonomy"
"tender consultant uk","Commercial","Decision","Cross-sector","/services","Strengthen existing page","P1","Commercial/service taxonomy"
"bid consultant healthcare","Commercial","Decision","Cross-sector","/services","Strengthen existing page","P0","Commercial/service taxonomy"
"tender writing prices uk","Commercial","Consideration","Cross-sector","/services","Add transparent pricing explainer","P1","Commercial/service taxonomy"
"how much does a tender writer cost","Commercial","Consideration","Cross-sector","/guides/tender-writing-cost","Create evidence-led guide","P1","Commercial/service taxonomy"
"best tender writing company uk","Commercial","Decision","Cross-sector","/proof","Strengthen proof and comparison criteria","P1","Commercial/service taxonomy"
"care tender consultant","Transactional","Decision","Cross-sector","/services","Strengthen existing page","P0","Commercial/service taxonomy"
"healthcare bid consultant","Transactional","Decision","Cross-sector","/services","Strengthen existing page","P0","Commercial/service taxonomy"
"tender writer for small business","Transactional","Decision","Cross-sector","/services/bid-writing","Add SME qualification section","P1","Commercial/service taxonomy"
"emergency tender writing support","Transactional","Decision","Cross-sector","/services/bid-writing","Add deadline triage section","P1","Commercial/service taxonomy"
"last minute bid writing support","Transactional","Decision","Cross-sector","/services/bid-writing","Add deadline triage section","P1","Commercial/service taxonomy"
"lost tender debrief service","Transactional","Decision","Cross-sector","/services/lost-bid-debrief","Strengthen existing page","P1","Commercial/service taxonomy"
"tender scoring review","Transactional","Decision","Cross-sector","/services/pre-submission-review","Strengthen existing page","P0","Commercial/service taxonomy"
"domiciliary care tender writing","Transactional","Decision","domiciliary care","/care-settings/domiciliary-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"domiciliary care bid writing services","Transactional","Decision","domiciliary care","/care-settings/domiciliary-care","Strengthen service CTA and proof","P0","Care-setting demand cluster"
"domiciliary care tenders uk","Commercial","Consideration","domiciliary care","/tenders/domiciliary-care","Expand live opportunity context","P0","Live-tender demand cluster"
"live domiciliary care tenders","Commercial","Consideration","domiciliary care","/tenders/domiciliary-care","Expand live opportunity context","P1","Live-tender demand cluster"
"how to win domiciliary care tenders","Informational","Consideration","domiciliary care","/care-settings/domiciliary-care","Add expert buyer-scoring guidance","P1","Care-setting guidance cluster"
