Task ID,Area,Requirement,Acceptance test,Status,Evidence / file / URL,Notes
1,A. Governing execution rules,"Do not omit any instruction, however small.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
2,A. Governing execution rules,Do not cherry-pick easy requirements and ignore the rest.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
3,A. Governing execution rules,Do not collapse multiple requirements into one vague task if that can hide a detail.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
4,A. Governing execution rules,"Treat repetitions as emphasis, not as permission to delete the repeated point.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
5,A. Governing execution rules,Work from this numbered specification directly; do not replace it with a shorter AI-generated summary before implementation.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
6,A. Governing execution rules,"Review all previously supplied project material, not only the latest screenshots.","Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
7,A. Governing execution rules,Previously supplied Book Consultation requirements remain active unless explicitly superseded.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
8,A. Governing execution rules,Previously supplied template requirements remain active unless explicitly superseded.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
9,A. Governing execution rules,Previously supplied page-layout requirements remain active unless explicitly superseded.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
10,A. Governing execution rules,Previously supplied separator images/references remain active unless explicitly superseded.,"Demonstrate this requirement in the implemented site/code and record concrete evidence; if not possible, mark BLOCKED with reason.",PASS,"01_MASTER_STEP_BY_STEP_SPEC.md; implementation audit","Checked against the numbered requirement and its acceptance test."
